Álava;Vitoria
Albacete;Albacete
Alicante;Alicante
Almería;Almería
Asturias;Oviedo
Ávila;Ávila
Badajoz;Badajoz
Barcelona;Barcelona
Burgos;Burgos
Cáceres;Cáceres
Cádiz;Cádiz
Cantabria;Santander
Castellón;Castellón de la Plana
Ciudad Real;Ciudad Real
Córdoba;Córdoba
Cuenca;Cuenca
Gerona;Gerona
Granada;Granada
Guadalajara;Guadalajara
Guipúzcoa;San Sebastián
Huelva;Huelva
Huesca;Huesca
Islas Baleares;Palma de Mallorca
Jaén;Jaén
La Coruña;La Coruña
La Rioja;Logroño
Las Palmas;Las Palmas de Gran Canaria
León;León
Lérida;Lérida
Lugo;Lugo
Madrid;Madrid
Málaga;Málaga
Murcia;Murcia
Navarra;Pamplona
Orense;Orense
Palencia;Palencia
Pontevedra;Pontevedra
Salamanca;Salamanca
Santa Cruz de Tenerife;Santa Cruz de Tenerife
Segovia;Segovia
Sevilla;Sevilla
Soria;Soria
Tarragona;Tarragona
Teruel;Teruel
Toledo;Toledo
Valencia;Valencia
Valladolid;Valladolid
Vizcaya;Bilbao
Zamora;Zamora
Zaragoza;Zaragoza
